,0
0,600243.SH daily bar
1,600999.SH daily bar
2,000001.SZ financial_ratio
3,000002.SZ financial_ratio
4,000004.SZ financial_ratio
5,000005.SZ financial_ratio
6,000006.SZ financial_ratio
7,000007.SZ financial_ratio
8,000008.SZ financial_ratio
9,000009.SZ financial_ratio
10,000010.SZ financial_ratio
11,000011.SZ financial_ratio
12,000012.SZ financial_ratio
13,000014.SZ financial_ratio
14,000016.SZ financial_ratio
15,000017.SZ financial_ratio
16,000019.SZ financial_ratio
17,000020.SZ financial_ratio
18,000021.SZ financial_ratio
19,000023.SZ financial_ratio
20,000025.SZ financial_ratio
21,000026.SZ financial_ratio
22,000027.SZ financial_ratio
23,000028.SZ financial_ratio
24,000029.SZ financial_ratio
25,000030.SZ financial_ratio
26,000031.SZ financial_ratio
27,000032.SZ financial_ratio
28,000034.SZ financial_ratio
29,000035.SZ financial_ratio
30,000036.SZ financial_ratio
31,000037.SZ financial_ratio
32,000038.SZ financial_ratio
33,000039.SZ financial_ratio
34,000040.SZ financial_ratio
35,000042.SZ financial_ratio
36,000045.SZ financial_ratio
37,000046.SZ financial_ratio
38,000048.SZ financial_ratio
39,000049.SZ financial_ratio
40,000050.SZ financial_ratio
41,000055.SZ financial_ratio
42,000056.SZ financial_ratio
43,000058.SZ financial_ratio
44,000059.SZ financial_ratio
45,000060.SZ financial_ratio
46,000061.SZ financial_ratio
47,000062.SZ financial_ratio
48,000063.SZ financial_ratio
49,000065.SZ financial_ratio
50,000066.SZ financial_ratio
51,000068.SZ financial_ratio
52,000069.SZ financial_ratio
53,000070.SZ financial_ratio
54,000078.SZ financial_ratio
55,000088.SZ financial_ratio
56,000089.SZ financial_ratio
57,000090.SZ financial_ratio
58,000096.SZ financial_ratio
59,000099.SZ financial_ratio
60,000100.SZ financial_ratio
61,000150.SZ financial_ratio
62,000151.SZ financial_ratio
63,000153.SZ financial_ratio
64,000155.SZ financial_ratio
65,000156.SZ financial_ratio
66,000157.SZ financial_ratio
67,000158.SZ financial_ratio
68,000159.SZ financial_ratio
69,000166.SZ financial_ratio
70,000301.SZ financial_ratio
71,000333.SZ financial_ratio
72,000338.SZ financial_ratio
73,000400.SZ financial_ratio
74,000401.SZ financial_ratio
75,000402.SZ financial_ratio
76,000403.SZ financial_ratio
77,000404.SZ financial_ratio
78,000407.SZ financial_ratio
79,000408.SZ financial_ratio
80,000409.SZ financial_ratio
81,000410.SZ financial_ratio
82,000411.SZ financial_ratio
83,000413.SZ financial_ratio
84,000415.SZ financial_ratio
85,000416.SZ financial_ratio
86,000417.SZ financial_ratio
87,000419.SZ financial_ratio
88,000420.SZ financial_ratio
89,000421.SZ financial_ratio
90,000422.SZ financial_ratio
91,000423.SZ financial_ratio
92,000425.SZ financial_ratio
93,000426.SZ financial_ratio
94,000428.SZ financial_ratio
95,000429.SZ financial_ratio
96,000430.SZ financial_ratio
97,000488.SZ financial_ratio
98,000498.SZ financial_ratio
99,000501.SZ financial_ratio
100,000502.SZ financial_ratio
101,000503.SZ financial_ratio
102,000504.SZ financial_ratio
103,000505.SZ financial_ratio
104,000506.SZ financial_ratio
105,000507.SZ financial_ratio
106,000509.SZ financial_ratio
107,000510.SZ financial_ratio
108,000513.SZ financial_ratio
109,000514.SZ financial_ratio
110,000516.SZ financial_ratio
111,000517.SZ financial_ratio
112,000518.SZ financial_ratio
113,000519.SZ financial_ratio
114,000520.SZ financial_ratio
115,000521.SZ financial_ratio
116,000523.SZ financial_ratio
117,000524.SZ financial_ratio
118,000525.SZ financial_ratio
119,000526.SZ financial_ratio
120,000528.SZ financial_ratio
121,000529.SZ financial_ratio
122,000530.SZ financial_ratio
123,000531.SZ financial_ratio
124,000532.SZ financial_ratio
125,000533.SZ financial_ratio
126,000534.SZ financial_ratio
127,000536.SZ financial_ratio
128,000537.SZ financial_ratio
129,000538.SZ financial_ratio
130,000539.SZ financial_ratio
131,000540.SZ financial_ratio
132,000541.SZ financial_ratio
133,000543.SZ financial_ratio
134,000544.SZ financial_ratio
135,000545.SZ financial_ratio
136,000546.SZ financial_ratio
137,000547.SZ financial_ratio
138,000548.SZ financial_ratio
139,000550.SZ financial_ratio
140,000551.SZ financial_ratio
141,000552.SZ financial_ratio
142,000553.SZ financial_ratio
143,000554.SZ financial_ratio
144,000555.SZ financial_ratio
145,000557.SZ financial_ratio
146,000558.SZ financial_ratio
147,000559.SZ financial_ratio
148,000560.SZ financial_ratio
149,000561.SZ financial_ratio
150,000563.SZ financial_ratio
151,000564.SZ financial_ratio
152,000565.SZ financial_ratio
153,000566.SZ financial_ratio
154,000567.SZ financial_ratio
155,000568.SZ financial_ratio
156,000570.SZ financial_ratio
157,000571.SZ financial_ratio
158,000572.SZ financial_ratio
159,000573.SZ financial_ratio
160,000576.SZ financial_ratio
161,000581.SZ financial_ratio
162,000582.SZ financial_ratio
163,000584.SZ financial_ratio
164,000585.SZ financial_ratio
165,000586.SZ financial_ratio
166,000587.SZ financial_ratio
167,000589.SZ financial_ratio
168,000590.SZ financial_ratio
169,000591.SZ financial_ratio
170,000592.SZ financial_ratio
171,000593.SZ financial_ratio
172,000595.SZ financial_ratio
173,000596.SZ financial_ratio
174,000597.SZ financial_ratio
175,000598.SZ financial_ratio
176,000599.SZ financial_ratio
177,000600.SZ financial_ratio
178,000601.SZ financial_ratio
179,000603.SZ financial_ratio
180,000605.SZ financial_ratio
181,000606.SZ financial_ratio
182,000607.SZ financial_ratio
183,000608.SZ financial_ratio
184,000609.SZ financial_ratio
185,000610.SZ financial_ratio
186,000611.SZ financial_ratio
187,000612.SZ financial_ratio
188,000613.SZ financial_ratio
189,000615.SZ financial_ratio
190,000616.SZ financial_ratio
191,000617.SZ financial_ratio
192,000619.SZ financial_ratio
193,000620.SZ financial_ratio
194,000622.SZ financial_ratio
195,000623.SZ financial_ratio
196,000625.SZ financial_ratio
197,000626.SZ financial_ratio
198,000627.SZ financial_ratio
199,000628.SZ financial_ratio
200,000629.SZ financial_ratio
201,000630.SZ financial_ratio
202,000631.SZ financial_ratio
203,000632.SZ financial_ratio
204,000633.SZ financial_ratio
205,000635.SZ financial_ratio
206,000636.SZ financial_ratio
207,000637.SZ financial_ratio
208,000638.SZ financial_ratio
209,000639.SZ financial_ratio
210,000650.SZ financial_ratio
211,000651.SZ financial_ratio
212,000652.SZ financial_ratio
213,000655.SZ financial_ratio
214,000656.SZ financial_ratio
215,000657.SZ financial_ratio
216,000659.SZ financial_ratio
217,000661.SZ financial_ratio
218,000663.SZ financial_ratio
219,000665.SZ financial_ratio
220,000666.SZ financial_ratio
221,000667.SZ financial_ratio
222,000668.SZ financial_ratio
223,000669.SZ financial_ratio
224,000671.SZ financial_ratio
225,000672.SZ financial_ratio
226,000673.SZ financial_ratio
227,000676.SZ financial_ratio
228,000677.SZ financial_ratio
229,000678.SZ financial_ratio
230,000679.SZ financial_ratio
231,000680.SZ financial_ratio
232,000681.SZ financial_ratio
233,000682.SZ financial_ratio
234,000683.SZ financial_ratio
235,000685.SZ financial_ratio
236,000686.SZ financial_ratio
237,000687.SZ financial_ratio
238,000688.SZ financial_ratio
239,000690.SZ financial_ratio
240,000691.SZ financial_ratio
241,000692.SZ financial_ratio
242,000695.SZ financial_ratio
243,000697.SZ financial_ratio
244,000698.SZ financial_ratio
245,000700.SZ financial_ratio
246,000701.SZ financial_ratio
247,000702.SZ financial_ratio
248,000703.SZ financial_ratio
249,000705.SZ financial_ratio
250,000707.SZ financial_ratio
251,000708.SZ financial_ratio
252,000709.SZ financial_ratio
253,000710.SZ financial_ratio
254,000711.SZ financial_ratio
255,000712.SZ financial_ratio
256,000713.SZ financial_ratio
257,000715.SZ financial_ratio
258,000716.SZ financial_ratio
259,000717.SZ financial_ratio
260,000718.SZ financial_ratio
261,000719.SZ financial_ratio
262,000720.SZ financial_ratio
263,000721.SZ financial_ratio
264,000722.SZ financial_ratio
265,000723.SZ financial_ratio
266,000725.SZ financial_ratio
267,000726.SZ financial_ratio
268,000727.SZ financial_ratio
269,000728.SZ financial_ratio
