,0
0,001227.SZ hfq adj daily bar
1,001234.SZ hfq adj daily bar
2,001266.SZ hfq adj daily bar
3,001289.SZ hfq adj daily bar
4,001308.SZ hfq adj daily bar
5,001313.SZ hfq adj daily bar
6,300834.SZ hfq adj daily bar
7,301102.SZ hfq adj daily bar
8,301103.SZ hfq adj daily bar
9,301106.SZ hfq adj daily bar
10,301110.SZ hfq adj daily bar
11,301116.SZ hfq adj daily bar
12,301117.SZ hfq adj daily bar
13,301122.SZ hfq adj daily bar
14,301123.SZ hfq adj daily bar
15,301130.SZ hfq adj daily bar
16,301131.SZ hfq adj daily bar
17,301136.SZ hfq adj daily bar
18,301137.SZ hfq adj daily bar
19,301158.SZ hfq adj daily bar
20,301159.SZ hfq adj daily bar
21,301181.SZ hfq adj daily bar
22,301196.SZ hfq adj daily bar
23,301200.SZ hfq adj daily bar
24,301201.SZ hfq adj daily bar
25,301206.SZ hfq adj daily bar
26,301207.SZ hfq adj daily bar
27,301215.SZ hfq adj daily bar
28,301216.SZ hfq adj daily bar
29,301217.SZ hfq adj daily bar
30,301218.SZ hfq adj daily bar
31,301219.SZ hfq adj daily bar
32,301222.SZ hfq adj daily bar
33,301226.SZ hfq adj daily bar
34,301228.SZ hfq adj daily bar
35,301229.SZ hfq adj daily bar
36,301235.SZ hfq adj daily bar
37,301236.SZ hfq adj daily bar
38,301237.SZ hfq adj daily bar
39,301256.SZ hfq adj daily bar
40,301258.SZ hfq adj daily bar
41,301263.SZ hfq adj daily bar
42,600941.SH hfq adj daily bar
43,603051.SH hfq adj daily bar
44,603070.SH hfq adj daily bar
45,603102.SH hfq adj daily bar
46,603122.SH hfq adj daily bar
47,603132.SH hfq adj daily bar
48,603150.SH hfq adj daily bar
49,603209.SH hfq adj daily bar
50,603215.SH hfq adj daily bar
51,603261.SH hfq adj daily bar
52,688062.SH hfq adj daily bar
53,688102.SH hfq adj daily bar
54,688115.SH hfq adj daily bar
55,688150.SH hfq adj daily bar
56,688163.SH hfq adj daily bar
57,688171.SH hfq adj daily bar
58,688173.SH hfq adj daily bar
59,688175.SH hfq adj daily bar
60,688176.SH hfq adj daily bar
61,688197.SH hfq adj daily bar
62,688207.SH hfq adj daily bar
63,688220.SH hfq adj daily bar
64,688223.SH hfq adj daily bar
65,688225.SH hfq adj daily bar
66,688234.SH hfq adj daily bar
67,688238.SH hfq adj daily bar
68,688259.SH hfq adj daily bar
69,688261.SH hfq adj daily bar
70,688262.SH hfq adj daily bar
71,688267.SH hfq adj daily bar
72,688270.SH hfq adj daily bar
73,688281.SH hfq adj daily bar
74,688282.SH hfq adj daily bar
75,688283.SH hfq adj daily bar
76,688306.SH hfq adj daily bar
77,831689.BJ hfq adj daily bar
78,832419.BJ hfq adj daily bar
79,833346.BJ hfq adj daily bar
80,835179.BJ hfq adj daily bar
81,870204.BJ hfq adj daily bar
82,871245.BJ hfq adj daily bar
83,871857.BJ hfq adj daily bar
